functionName,Invocation,ResponseTime
va-monolith,1,1.4178087711334229
va-monolith,2,1.3936562538146973
va-monolith,3,1.385249137878418
va-monolith,4,1.3973267078399658
va-monolith,5,1.4273576736450195
va-monolith,6,1.402059555053711
va-monolith,7,1.4131250381469727
va-monolith,8,1.3819735050201416
va-monolith,9,1.3971333503723145
va-monolith,10,1.3871946334838867
va-monolith,11,1.401336669921875
va-monolith,12,1.4114012718200684
va-monolith,13,1.3948605060577393
va-monolith,14,1.4108047485351562
va-monolith,15,1.397007703781128
va-monolith,16,1.449711799621582
va-monolith,17,1.4160773754119873
va-monolith,18,1.4022133350372314
va-monolith,19,1.4425537586212158
va-monolith,20,1.3737950325012207
va-monolith,21,1.3790955543518066
va-monolith,22,1.491581916809082
va-monolith,23,1.4801199436187744
va-monolith,24,1.469029426574707
va-monolith,25,1.4957084655761719
va-monolith,26,1.5008599758148193
va-monolith,27,1.530014991760254
va-monolith,28,1.5100374221801758
va-monolith,29,1.5678186416625977
va-monolith,30,1.4775900840759277
va-monolith,31,1.4847924709320068
