Invocation,ResponseTime
1,3.137187957763672
2,0.5576088428497314
3,0.5569477081298828
4,0.5373668670654297
5,0.4831819534301758
6,0.47638559341430664
7,0.4398186206817627
8,0.4268510341644287
9,0.43952345848083496
10,0.4188249111175537
11,0.4331352710723877
12,0.48548150062561035
13,0.42368507385253906
14,0.4291219711303711
15,0.421842098236084
16,0.42760205268859863
17,0.4181036949157715
18,0.46256589889526367
19,0.41457605361938477
20,0.4211113452911377
21,0.4486706256866455
22,0.43885087966918945
23,0.4133439064025879
24,0.467803955078125
25,0.4248173236846924
26,0.4197244644165039
27,0.4139370918273926
28,0.4257230758666992
29,0.46790099143981934
30,0.45444607734680176
31,0.4146573543548584
32,0.4254415035247803
33,0.4314582347869873
34,0.4601006507873535
35,0.46588993072509766
36,0.478649377822876
37,0.42461323738098145
38,0.43253016471862793
39,0.43299365043640137
40,0.4116997718811035
41,0.44472670555114746
42,0.46371006965637207
43,0.42207765579223633
44,0.41526055335998535
45,0.4178955554962158
46,0.4299046993255615
47,0.4305450916290283
48,0.46993160247802734
49,0.4371919631958008
50,0.4525034427642822
51,0.4452083110809326
52,0.43338799476623535
53,0.4912996292114258
54,0.46098947525024414
55,0.4219193458557129
56,0.4383068084716797
57,0.4185762405395508
58,0.41933465003967285
59,0.42150092124938965
60,0.5020081996917725
61,0.4213402271270752
62,0.42590951919555664
63,0.42476701736450195
64,0.43168210983276367
65,0.4235687255859375
66,0.4963240623474121
67,0.4315464496612549
68,0.4657762050628662
69,0.43020129203796387
70,0.415416955947876
71,0.4275801181793213
72,0.46480464935302734
73,0.43014001846313477
74,0.4209914207458496
75,0.44143080711364746
76,0.41936802864074707
77,0.4340248107910156
78,0.4254457950592041
79,0.45693278312683105
80,0.43077516555786133
81,0.42863011360168457
82,0.42879796028137207
83,0.4566500186920166
84,0.443864107131958
85,0.4906492233276367
86,0.44078516960144043
87,0.44683218002319336
88,0.4315814971923828
89,0.4564034938812256
90,0.46844911575317383
91,0.48216819763183594
92,0.4842698574066162
93,0.44799208641052246
94,0.455319881439209
95,0.4324042797088623
96,0.441303014755249
97,0.48381590843200684
98,0.4682807922363281
99,0.4850349426269531
100,0.44329833984375
