Invocation,ResponseTime
1,2.831921100616455
2,0.49699831008911133
3,0.5189554691314697
4,0.5281434059143066
5,0.5209474563598633
6,0.4584212303161621
7,0.4391341209411621
8,0.4587702751159668
9,0.5474481582641602
10,0.42496514320373535
11,0.42662906646728516
12,0.48171520233154297
13,0.4584791660308838
14,0.43383145332336426
15,0.4342343807220459
16,0.4216465950012207
17,0.4549720287322998
18,0.5040860176086426
19,0.4658999443054199
20,0.459552526473999
21,0.4388556480407715
22,0.43010854721069336
23,0.42165040969848633
24,0.4877650737762451
25,0.42760324478149414
26,0.42026257514953613
27,0.5006959438323975
28,0.4220094680786133
29,0.43257880210876465
30,0.4444429874420166
31,0.4555542469024658
32,0.4515674114227295
33,0.4428520202636719
34,0.42223167419433594
35,0.4838144779205322
36,0.5060224533081055
37,0.4319024085998535
38,0.4182703495025635
39,0.4388997554779053
40,0.43434667587280273
41,0.44431161880493164
42,0.47284483909606934
43,0.43376612663269043
44,0.45049142837524414
45,0.46827197074890137
46,0.41763782501220703
47,0.4546074867248535
48,0.4950706958770752
49,0.5386753082275391
50,0.41808366775512695
51,0.4978597164154053
52,0.4885103702545166
53,0.4479188919067383
54,0.50154709815979
55,0.47551393508911133
56,0.4290590286254883
57,0.4699745178222656
58,0.49743080139160156
59,0.4708683490753174
60,0.547112226486206
61,0.4310767650604248
62,0.4807569980621338
63,0.4410743713378906
64,0.468311071395874
65,0.4417557716369629
66,0.48158836364746094
67,0.521242618560791
68,0.43479156494140625
69,0.47647595405578613
70,0.41745734214782715
71,0.4691884517669678
72,0.5807607173919678
73,0.4590890407562256
74,0.46988391876220703
75,0.5161032676696777
76,0.502007246017456
77,0.4651181697845459
78,0.5350422859191895
79,0.5126597881317139
80,0.4808220863342285
81,0.470120906829834
82,0.48402953147888184
83,0.46994733810424805
84,0.4695708751678467
85,0.4967381954193115
86,0.4506654739379883
87,0.46306920051574707
88,0.5175468921661377
89,0.4932732582092285
90,0.4608910083770752
91,0.5201370716094971
92,0.4613189697265625
93,0.46738767623901367
94,0.5223681926727295
95,0.47464895248413086
96,0.4876079559326172
97,0.5286109447479248
98,0.4675431251525879
99,0.5014913082122803
100,0.4634380340576172
