functionName,Invocation,ResponseTime
vidsplit,2,0.46976470947265625
modect,2,0.4692671298980713
facextract,2,1.0064539909362793
facerec,2,4.492798328399658
vidsplit,3,0.46433067321777344
modect,3,0.41595959663391113
facextract,3,0.8513672351837158
facerec,3,1.2517144680023193
vidsplit,4,0.479522705078125
modect,4,0.4322998523712158
facextract,4,0.872164249420166
facerec,4,1.2884845733642578
vidsplit,5,0.4831078052520752
modect,5,0.44915294647216797
facextract,5,0.8535583019256592
facerec,5,1.2651026248931885
vidsplit,6,0.47084808349609375
modect,6,0.424252986907959
facextract,6,0.8677029609680176
facerec,6,1.2462584972381592
vidsplit,7,0.46959447860717773
modect,7,0.4356112480163574
facextract,7,0.855982780456543
facerec,7,1.2830941677093506
vidsplit,8,0.47002673149108887
modect,8,0.42563796043395996
facextract,8,0.8492710590362549
facerec,8,1.2773618698120117
vidsplit,9,0.4716160297393799
modect,9,0.4504544734954834
facextract,9,0.8547382354736328
facerec,9,1.251140832901001
vidsplit,10,0.49622416496276855
modect,10,0.41979336738586426
facextract,10,0.8544769287109375
facerec,10,1.2586755752563477
vidsplit,11,0.47585630416870117
modect,11,0.4297606945037842
facextract,11,0.8553361892700195
facerec,11,1.2595493793487549
vidsplit,12,0.471172571182251
modect,12,0.4282853603363037
facextract,12,0.8665649890899658
facerec,12,1.2800769805908203
vidsplit,13,0.47721171379089355
modect,13,0.4212052822113037
facextract,13,0.8450987339019775
facerec,13,1.2497882843017578
vidsplit,14,0.48027944564819336
modect,14,0.4505784511566162
facextract,14,0.8876330852508545
facerec,14,1.3139076232910156
vidsplit,15,0.47741007804870605
modect,15,0.417539119720459
facextract,15,0.8629255294799805
facerec,15,1.2574925422668457
vidsplit,16,0.461536169052124
modect,16,0.460507869720459
facextract,16,0.886570930480957
facerec,16,1.3548855781555176
vidsplit,17,0.48139524459838867
modect,17,0.4224889278411865
facextract,17,0.9047195911407471
facerec,17,1.3043370246887207
vidsplit,18,0.47292280197143555
modect,18,0.4452040195465088
facextract,18,0.8920328617095947
facerec,18,1.2804591655731201
vidsplit,19,0.46569275856018066
modect,19,0.4509706497192383
facextract,19,0.9176952838897705
facerec,19,1.3339829444885254
vidsplit,20,0.47185707092285156
modect,20,0.4595046043395996
facextract,20,0.8815000057220459
facerec,20,1.3233520984649658
